piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
130_Chorale_17_Bass_2	1: 4/4	1: 0	20	20	80.0	30	30	120.0	144.0	67	34	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 17, Bass 2						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/130_Chorale_17_Bass_2.mscx	False	40-76 (E2-E5)	mxl	Piano	64-76 (E4-E5)	Piano	40-60 (E2-C4)
131_Chorale_17_Bass_3	1: 4/4	1: 0	20	20	80.0	30	30	120.0	144.0	66	37	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 17, Bass 3						2025-01-31	Linux					"<font size=""15""/><b>Chorale 17, Bass 3</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/131_Chorale_17_Bass_3.mscx	False	45-76 (A2-E5)	mxl	Piano	64-76 (E4-E5)	Piano	45-60 (A2-C4)
132_Chorale_17_Bass_4	1: 4/4	1: 0	20	20	80.0	30	30	120.0	144.0	69	37	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 17, Bass 4						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/132_Chorale_17_Bass_4.mscx	False	40-76 (E2-E5)	mxl	Piano	64-76 (E4-E5)	Piano	40-57 (E2-A3)
133_Chorale_17_Bass_5	1: 4/4	1: 0	20	20	80.0	30	30	120.0	144.0	66	35	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 17, Bass 5						2025-01-31	Linux					"<font size=""15""/><b>Chorale 17, Bass 5</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/133_Chorale_17_Bass_5.mscx	False	40-76 (E2-E5)	mxl	Piano	64-76 (E4-E5)	Piano	40-60 (E2-C4)
134_Chorale_17_Bass_6	1: 4/4	1: 0	20	20	80.0	30	30	120.0	144.0	68	35	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 17, Bass 6						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/134_Chorale_17_Bass_6.mscx	False	40-76 (E2-E5)	mxl	Piano	64-76 (E4-E5)	Piano	40-57 (E2-A3)
135_Chorale_17_Bass_7	1: 4/4	1: 0	20	20	80.0	30	30	120.0	144.0	68	36	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 17, Bass 7						2025-01-31	Linux					"<font size=""15""/><b>Chorale 17, Bass 7</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/135_Chorale_17_Bass_7.mscx	False	40-76 (E2-E5)	mxl	Piano	64-76 (E4-E5)	Piano	40-57 (E2-A3)
136_Chorale_17_Bass_8	1: 4/4	1: 0	20	20	80.0	30	30	120.0	144.0	71	39	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 17, Bass 8						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/136_Chorale_17_Bass_8.mscx	False	39-76 (D#2-E5)	mxl	Piano	64-76 (E4-E5)	Piano	39-55 (D#2-G3)
137_Chorale_18_Bass_1	1: 4/4	1: -1	31	31	124.0	46	46	184.0	236.0	99	50	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 18, Bass 1						2025-01-31	Linux					"<font size=""15""/><b>Chorale 18, Bass 1</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/137_Chorale_18_Bass_1.mscx	False	41-77 (F2-F5)	mxl	Piano	65-77 (F4-F5)	Piano	41-60 (F2-C4)
138_Chorale_18_Bass_2	1: 4/4	1: -1	31	31	124.0	46	46	184.0	236.0	101	52	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 18, Bass 2						2025-01-31	Linux							3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/138_Chorale_18_Bass_2.mscx	False	36-77 (C2-F5)	mxl	Piano	65-77 (F4-F5)	Piano	36-57 (C2-A3)
139_Chorale_18_Bass_3	1: 4/4	1: -1	31	31	124.0	46	46	184.0	236.0	105	57	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 18, Bass 3						2025-01-31	Linux					"<font size=""15""/><b>Chorale 18, Bass 3</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/139_Chorale_18_Bass_3.mscx	False	41-77 (F2-F5)	mxl	Piano	65-77 (F4-F5)	Piano	41-57 (F2-A3)
13_Chorale_2_Bass_5	1: 4/4	1: 1	27	27	108.0	38	38	152.0	196.0	92	49	0	0	0	J. Ch. Kittel	Kittel - 24 Chorales With Multiple Basslines Worksheets		Chorale 2, Bass 5						2025-01-31	Linux					"<font size=""15""/><b>Chorale 2, Bass 5</b>"		3.6.2	2.5.3	MultibassChorales/MS3	MultibassChorales/MS3/13_Chorale_2_Bass_5.mscx	False	40-74 (E2-D5)	mxl	Piano	64-74 (E4-D5)	Piano	40-55 (E2-G3)
