mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
29	29	113	113	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		3	57	A3	3	115
29	29	114	114	1.0	1/2	1/2	4/4	2	1	1/4		1/4	1		4	52	E3	3	116
29	29	114	114	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		7	73	C#5	5	113
29	29	115	115	1.0	3/4	3/4	4/4	2	1	1/4		1/4	1		3	57	A3	3	117
30	30	116	116	1.0	0	0	4/4	2	1	1/4		1/4	1		2	50	D3	3	119
30	30	116	116	4.0	0	0	4/4	1	1	1		1	1		5	71	B4	4	118
30	30	117	117	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		5	47	B2	2	120
30	30	118	118	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		4	52	E3	3	121
31	31	120	120	4.0	0	0	4/4	2	1	1		1	1		3	45	A2	2	123
31	31	120	120	4.0	0	0	4/4	1	1	1		1	1		3	69	A4	4	122
